time,slope,tempratue,padel rotation,throttle,speed,current
277,-1.73,27.78,5,300,35.67,6.31
278,-1.29,27.82,5,764,34.4,6.33
279,-0.63,27.97,5,823,33.82,6.23
280,0.27,27.92,5,817,32.29,6.39
281,0.65,27.92,5,816,30.41,6.36
282,0.73,28.06,5,992,28.29,6.33
283,1.18,28.11,5,991,26.73,6.18
284,1.17,28.11,5,992,24.91,6.36
285,1.13,28.11,5,991,23.96,6.36
286,1.28,28.11,5,991,23.37,6.33
287,1.41,28.29,5,992,23.04,6.39
288,1.42,28.29,6,995,22.47,6.36
289,1.4,28.2,6,990,21.81,6.36
290,1.09,28.25,6,990,21.52,6.39
291,1.27,28.34,6,990,21.5,6.33
292,0.81,28.39,6,991,20.91,6.36
293,0.75,28.34,6,1007,20.89,7.18
294,0.52,28.44,6,1003,21.22,7.15
295,0.73,28.44,6,988,21.2,7.15
296,0.09,28.39,6,987,21.52,7.18
297,0.73,28.53,6,1011,21.52,7.19
298,0.58,28.58,6,993,21.5,6.33
299,0.19,28.48,6,995,21.83,6.33
300,0.39,28.62,6,995,21.81,6.33
301,-0.13,28.58,6,997,22.47,6.33
302,0.05,28.58,6,995,22.73,6.33
303,-0.23,28.72,6,996,23.06,6.33
304,-0.23,28.53,6,996,23.04,6.33
305,-1.01,28.67,6,995,24.29,6.33
306,-1.13,28.62,6,996,24.57,6.33
307,-0.54,28.72,6,996,25.21,6.34
308,-0.83,28.77,6,286,25.8,6.36
309,-0.71,28.67,6,287,25.52,6.36
310,-1.63,28.67,6,287,23.65,6.36
311,-2.08,28.72,6,297,20.29,6.36
312,-1.36,28.81,6,292,17.2,6.36
313,-1.94,28.72,6,296,15.68,6.31
314,-1.35,28.81,6,290,15.37,6.28
315,-2.03,28.81,6,291,14.13,6.31
316,-2.04,28.86,6,290,11.99,6.07
317,-1.14,28.86,6,708,10.14,6.26
318,-0.6,28.81,6,845,15.07,6.02
320,5.22,29,6,826,35.4,4.12
364,-1.73,29.8,7,988,0.31,5.96
365,-1.15,29.75,7,990,1.84,5.62
224,-0.67,26.18,2,275,0.62,5.73
225,-0.55,26.27,2,274,0.31,5.7
226,-0.64,26.18,2,355,0.31,5.57
228,-0.45,26.18,2,312,0.92,5.49
229,-0.25,26.22,2,323,3.07,5.54
230,-0.19,26.18,2,316,3.69,5.62
231,-0.2,26.18,2,313,4.61,5.78
232,0.09,26.27,2,304,7.68,5.89
233,-0.06,26.22,3,298,7.39,5.7
234,-0.25,26.32,3,299,4.61,5.65
235,-0.45,26.27,3,326,2.46,5.75
236,-0.83,26.32,3,316,2.46,5.7
237,-1.05,26.37,3,324,2.46,5.73
238,-0.48,26.41,3,320,3.69,5.73
239,-0.48,26.37,3,316,5.84,5.75
240,-0.19,26.37,4,302,12.59,5.78
241,1.47,26.41,4,295,3.38,5.75
249,2.33,26.65,5,833,4.61,6.07
251,3.71,26.79,5,838,44.23,6.23
252,3.95,26.79,5,836,4.61,6.44
253,3.33,26.98,5,839,6.76,6.36
254,2.8,26.98,5,837,13.84,6.36
255,2.34,27.02,5,832,16.59,6.41
256,2.14,27.07,5,767,6.76,6.33
257,1.89,26.98,5,299,9.53,6.15
258,0.9,27.12,5,298,12.91,6.33
259,0.22,27.12,5,298,19.35,6.26
260,-0.6,27.12,5,296,19.06,6.33
261,-0.98,27.21,5,300,10.75,6.31
262,-1.14,27.21,5,305,11.68,6.33
263,-0.84,27.31,5,594,17.53,6.57
264,-1.15,27.31,5,605,19.35,6.68
265,-0.98,27.4,5,725,20.91,6.2
266,-1.89,27.4,5,731,22.42,6.84
267,-1.73,27.49,5,769,27.67,6.23
268,-1.87,27.54,5,878,30.41,6.26
269,-1.52,27.49,5,969,31.06,6.33
270,-1.71,27.59,5,792,32.25,6.31
271,-2.02,27.49,5,989,32.9,6.26
272,-2.1,27.64,5,991,33.18,6.31
273,-2,27.68,5,996,29.55,6.33
274,-1.75,27.73,5,991,29.8,6.31
275,-1.9,27.68,5,993,35.05,6.33
276,-1.86,27.78,5,745,35.63,6.33
277,-1.73,27.78,5,300,35.67,6.31
278,-1.29,27.82,5,764,34.4,6.33
279,-0.63,27.97,5,823,33.82,6.23
280,0.27,27.92,5,817,32.29,6.39
281,0.65,27.92,5,816,30.41,6.36
282,0.73,28.06,5,992,28.29,6.33
283,1.18,28.11,5,991,26.73,6.18
284,1.17,28.11,5,992,24.91,6.36
285,1.13,28.11,5,991,23.96,6.36
286,1.28,28.11,5,991,23.37,6.33
287,1.41,28.29,5,992,23.04,6.39
288,1.42,28.29,6,995,22.47,6.36
289,1.4,28.2,6,990,21.81,6.36
290,1.09,28.25,6,990,21.52,6.39
291,1.27,28.34,6,990,21.5,6.33
292,0.81,28.39,6,991,20.91,6.36
293,0.75,28.34,6,1007,20.89,7.18
294,0.52,28.44,6,1003,21.22,7.15
295,0.73,28.44,6,988,21.2,7.15
298,0.58,28.58,6,993,21.5,6.33
311,-2.08,28.72,6,297,20.29,6.36
312,-1.36,28.81,6,292,17.2,6.36
313,-1.94,28.72,6,296,15.68,6.31
314,-1.35,28.81,6,290,15.37,6.28
315,-2.03,28.81,6,291,14.13,6.31
316,-2.04,28.86,6,290,11.99,6.07
317,-1.14,28.86,6,708,10.14,6.26
318,-0.6,28.81,6,845,15.07,6.02
320,5.22,29,6,826,35.4,4.12
94,5.15,31.21,10,539,20.89,0.24
95,5.43,31.17,11,522,21.22,1.21
96,5.49,31.21,12,522,21.22,1
106,1.09,31.35,14,717,21.52,0.74
107,0.7,31.4,14,726,15.36,0.5
152,6.08,31.97,14,808,2.76,0.74
39,-1.64,34.84,11,932,1.84,0.32
70,1.75,35.12,33,477,0.31,0.69
102,3.1,37.19,33,223,0.61,7.52
107,3.29,37.28,33,959,3.38,9
108,2.87,37.28,33,967,8.91,9
109,2.36,37.14,33,963,7.69,8.97
110,2.17,37.09,34,970,8.6,8.97
113,5.07,36.67,36,970,9.84,8.79
114,5.12,36.58,36,978,18.74,0.98
115,5.4,36.58,37,976,3.38,0.74
116,5.29,36.34,38,972,7.37,0.71
118,5.7,36.11,39,981,5.53,0.77
119,5.31,35.97,40,964,4.3,0.77
120,4.91,35.97,41,962,20.6,1
121,5.14,35.78,42,966,13.21,1.06
123,4.8,35.87,43,982,12.3,0.92
124,5.2,35.64,44,977,4.61,0.9
128,5.69,35.4,47,963,16.28,0.92
129,5.26,35.49,48,962,15.07,0.9
14,-9.46,34.51,6,997,21.52,1.27
15,-8.32,34.55,7,1017,16.28,0.98
16,-6.35,34.6,7,998,15.07,0.95
17,-4.13,34.55,8,1003,15.97,0.9
18,-3.29,34.51,9,999,16.62,0.9
19,-2.31,34.55,10,1001,17.82,0.92
20,-1.33,34.37,11,1001,18.76,0.9
21,-1.29,34.51,12,996,19.97,0.95
9,-5.44,34.22,0,909,23.06,1.93
10,-0.68,34.27,0,903,23.37,1.03
11,0.22,34.22,0,911,23.35,1.06
12,-0.64,34.13,0,900,24.29,1.06
13,-0.9,34.22,0,892,23.96,0.98
14,-1.04,34.18,0,898,24.6,0.9
15,-1.27,34.13,0,897,24.57,0.84
16,-0.22,34.18,0,884,24.93,0.9
